2010-01-25T10:47:00Z,Embassy Madrid,"PGOV, PHUM, PREL, SP"
2010-01-25T10:45:00Z,Embassy Madrid,"PTER, PREL, ASEC, XI, XG, SP"
2010-01-22T17:11:00Z,Embassy Rabat,"ENRG, TRGY, TPHY, SENV, TNGD, KNNP, MO, SP"
2010-01-22T17:00:00Z,Embassy Madrid,"ECON, EFIN, KIPR, SP"
2010-01-22T16:09:00Z,Embassy Madrid,"KNNP, MNUC, PARM, PREL, IR, IAEA, TRGY, NPT, SP, EUN,"
2010-01-22T16:07:00Z,Embassy Madrid,"SENV, ENRG, SP, KGHG"
2010-01-22T15:43:00Z,Embassy Madrid,"PREL, KIPR, AF, IR, XM, SP"
2010-01-22T14:17:00Z,Embassy Madrid,"PREL, SP"
2010-01-21T16:11:00Z,Embassy Madrid,"PREL, NATO, EAID, KPAO, AF, SP"
2010-01-21T12:12:00Z,Embassy Madrid,"ETTC, KOMC, SP, VN"
2010-01-21T12:12:00Z,Embassy Madrid,"EAID, PHUM, PREF, UN, SP"
2010-01-20T14:16:00Z,Secretary of State,"ETTC, KOMC, SP"
2010-01-19T17:34:00Z,Embassy Madrid,"PREL, SP"
2010-01-19T16:08:00Z,Embassy Madrid,"PGOV, PREL, SP"
2010-01-19T12:30:00Z,Embassy Madrid,"EAIR, ECON, ECPS, EFIN, ELAB, KIPR, SP"
2010-01-15T12:28:00Z,Embassy Madrid,"KGHG, SENV, ENRG, SP"
2010-01-13T14:29:00Z,Embassy Madrid,"PREL, SP"
2010-01-11T17:54:00Z,Embassy Madrid,"PREL, EU, IR, SP"
2010-01-11T16:35:00Z,Embassy Madrid,"PREL, AF, HO, IR, IS, SP, WI"
2010-01-08T16:31:00Z,Embassy Madrid,"ECON, EINV, ELAB, ENRG, ETRN, SP"
2010-01-07T13:13:00Z,Embassy Madrid,"PGOV, SP, KCOR, KCRM, KJUS"
2010-01-05T12:19:00Z,Embassy Madrid,"ETTC, KTFN, KNNC, PREL, SP, IR"
2009-12-31T19:08:00Z,Embassy Caracas,"PREL, VE, SENV, SP, KGHG, IR"
2009-12-31T12:32:00Z,Embassy Paris,"OREP, AMGT, ASEC, AFIN, UK, GM IT, SP, FR"
