2008-05-09T16:34:00Z,Embassy Madrid,"ETRD, KIPR, SP"
2008-04-29T07:24:00Z,Embassy Madrid,"EFIN, KIPR, KNNP, IR, SP"
2008-04-21T07:31:00Z,Embassy Madrid,"ECON, EFIN, EPET, KIPR, KNNP, PGOV, SENV, SP"
2008-03-14T15:04:00Z,Embassy Madrid,"ECON, EINV, ELAB, ENRG, KIPR, SENV, SP"
2008-03-11T12:20:00Z,Embassy Madrid,"ECON, ETRD, KIPR, SP"
2008-03-10T10:37:00Z,Embassy Madrid,"ECON, EFIN, EIND, ENIV, ENRG, ETRD, KIPR, SP"
2008-02-25T17:42:00Z,Embassy Madrid,"ECON, ETRD, KIPR, SP"
2008-02-11T08:46:00Z,Embassy Madrid,"PREL, PGOV, KOCI, KIPR, ETRD, ECON, KIRF, KJAN, CVIS,"
2008-01-18T20:09:00Z,Embassy Madrid,"EAIR, ECON, EFIN, ETTC, KIPR, SENV, SOCI, TBIO, SP"
2008-01-04T19:47:00Z,Embassy Madrid,"ECON, EFIN, EIND, ELAB, ELTN, KIPR, PGOV, TBIO, SP"
2007-12-29T17:10:00Z,Embassy Madrid,"ECON, EFIN, EIND, ELAB, ELTN, KIPR, PGOV, TBIO, SP"
2007-12-28T18:04:00Z,Embassy Madrid,"KIPR, ECON, ETRD, SP"
2007-12-21T14:12:00Z,Embassy Madrid,"ECON, EFIN, EIND, ELAB, ELTN, KIPR, PGOV, TBIO, SP"
2007-12-14T17:23:00Z,Embassy Madrid,"BEXP, EAGR, ECON, EIND, EINT, EINV, ENRG, KIPR, KNNP,"
2007-12-10T09:43:00Z,Embassy Madrid,"ECON, EWWT, KIPR, PARM, PGOV, SP"
2007-12-03T13:05:00Z,Embassy Madrid,"EAGR, ECON, ELAB, ENRG, ETRD, KGHG, KIPR, PGOV, SENV"
2007-11-26T13:25:00Z,Embassy Madrid,"ECON, EFIN, ELAB, ETRD, KIPR, PTER, SOCI, TBIO, SP,"
2007-11-19T10:38:00Z,Embassy Madrid,"ECON, EFIN, ELAB, ETRD, KIPR, PTER, SOCI, TBIO, SP,"
2007-11-19T09:03:00Z,Embassy Madrid,"ECON, ETRD, KIPR, PGOV, ADCO, SP"
2007-11-14T15:35:00Z,Embassy Madrid,"EAGR, ECON, EFIN, ELAB, ETRD, KIPR, PTER, SOCI, TBIO,"
2007-10-29T14:33:00Z,Embassy Madrid,"EAIR, ECON, EFIN, EIND, ELAB, KIPR, SP, EINV"
2007-10-22T07:14:00Z,Embassy Madrid,"EAIR, ECON, EFIN, EIND, ELAB, KIPR, SP, EINV"
2007-10-17T15:08:00Z,Embassy Madrid,"EAIR, ECON, EFIN, EIND, ELAB, KIPR, SP, EINV"
2007-09-18T08:43:00Z,Embassy Madrid,"ECON, ETRD, KIPR, PGOV, ADCO, SP"
2007-08-13T07:53:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ENRG, ETRD, KIPR, PTER,"
2007-08-03T13:49:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ENRG, ETRD, KIPR, PTER,"
2007-07-30T13:29:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ENRG, ETRD, KIPR, PTER,"
2007-07-23T12:30:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ETRD, KIPR, SP, EINV, UK"
2007-07-16T11:27:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ETRD, KIPR, TBIO, SP,"
2007-07-09T13:06:00Z,Embassy Madrid,"EAGR, ECON, EFIN, EIND, ELAB, ETRD, KIPR, TBIO, SP,"
2006-12-13T16:08:00Z,Embassy Madrid,"ECON, ETRD, KIPR, EAGR, TBIO, SP, EINV, EWWT"
2006-12-13T13:47:00Z,Embassy Madrid,"ECON, ETRD, AORC, ASEC, KIPR OECD, SP"
2006-11-30T14:55:00Z,Embassy Madrid,"ECON, ETRD, KIPR, EAGR, EAID, TBIO, SP, EAIR, EINV"
2006-10-23T14:13:00Z,Embassy Madrid,"EAID, EINV, EFIN, PREL, PARM, ETTC, KIPR, SP"
2005-11-21T16:31:00Z,Embassy Madrid,"ECON, KIPR SPSTATE PASS USPTO (MICHEL SMITH)"
2005-11-18T16:06:00Z,Embassy Madrid,"KIPR, KPAO, SCUL, SP"
2005-10-27T14:26:00Z,Embassy Madrid,"ETRD, KIPR, SP"
2005-08-05T13:41:00Z,Embassy Madrid,"BEXP, EAGR, ECON, ETRD, KIPR, TBIO, SP, American - Spanish Relations"
